"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000013l_2031-R",-1.92314703531187,2.44482477988981,1.5522422938937,1.99582582341053,0.227459980327617,0.400921623963475,7.81742960730982,604.293933349794,2.76389050171027e-127,1.24700597458275e-124
"Sdiv_ptg000005l_0586-R",-1.48986434793506,-5.49896615534989,-4.38996389400181,-5.5077966841411,-1.44379287784605,-1.48248068842895,6.78513562887329,599.872566004756,2.4845702134513e-126,1.10866437458685e-123
"Sdiv_ptg000005l_1997-R",0.871223352499747,-4.96849912747221,1.80699422672277,-4.5658039482692,-7.87171151368014,1.4289702744972,4.3992192768724,599.671698840657,2.74523229515628e-126,1.21166198453387e-123
"Sdiv_ptg000012l_1637-R",1.93150598309873,-3.96617548508339,-10.4675155414555,-5.52788942659765,-5.98505691650857,1.41931175208315,4.98749758001989,596.185226428606,1.55099078865457e-125,6.71742760957095e-123
"Sdiv_ptg000009l_1944-R",-2.75603032466389,-6.44050568477616,-8.5247411320531,-7.75294137451903,-2.49452977695921,-2.44203055685148,5.20261405191583,596.179980972675,1.55503668250916e-125,6.71742760957095e-123
"Sdiv_ptg000010l_1503-R",2.514168588978,-1.03790978636428,-1.18299520038953,-1.41680919347036,-0.871288914914743,-0.595288411583169,6.77994540800867,587.772409937676,1.011874813086e-123,4.28622541638519e-121
"Sdiv_ptg000003l_0349-R",-0.850007297712938,-4.60797128025426,-8.2253403592034,-6.11145427549462,-3.81964325997951,-1.3851894770702,7.92343912530299,587.769492373882,1.01334196910057e-123,4.28622541638519e-121
"Sdiv_ptg000014l_0136-R",0.577536488168061,-2.54257870154674,-3.70100573244751,-10.2229996672571,0.817813470883819,0.424770701534884,4.43338426279449,584.934621289478,4.141478024701e-123,1.73369955330937e-120
"Sdiv_ptg000008l_0408-R",-0.336167627204951,-1.14292736178186,-1.30961068790777,-2.82779380976227,2.69574480384495,1.54634058303981,6.01388748770195,584.157499670221,6.09192273530589e-123,2.52416953663093e-120
"Sdiv_ptg000004l_1478-R",3.37982081940187,-1.67454424548246,-9.84478277138903,-9.84478277138903,-1.10626058024447,2.11504051854646,5.64341322240063,583.509137768044,8.40587830889734e-123,3.44776863243521e-120
